@relation accData
@attribute box numeric
@attribute sensor numeric
@attribute label {A,B}
@data
86.0,953.0,A
87.0,952.0,A
87.0,952.0,A
86.0,952.0,A
87.0,952.0,A
86.0,952.0,A
88.0,952.0,A
87.0,952.0,A
90.0,952.0,A
88.0,952.0,A
87.0,952.0,A
89.0,953.0,A
90.0,953.0,A
87.0,953.0,A
88.0,953.0,A
88.0,953.0,A
86.0,953.0,A
85.0,953.0,A
88.0,953.0,A
85.0,953.0,A
85.0,953.0,A
87.0,953.0,A
87.0,953.0,A
87.0,953.0,A
85.0,953.0,A
85.0,953.0,A
88.0,952.0,A
85.0,952.0,A
86.0,952.0,A
86.0,952.0,A
85.0,952.0,A
85.0,952.0,A
86.0,953.0,A
86.0,952.0,A
85.0,952.0,A
88.0,953.0,A
87.0,953.0,A
88.0,953.0,A
86.0,953.0,A
84.0,953.0,A
84.0,953.0,A
87.0,953.0,A
87.0,953.0,A
87.0,953.0,A
87.0,953.0,A
87.0,953.0,A
88.0,953.0,A
90.0,953.0,A
88.0,953.0,A
89.0,953.0,A
89.0,953.0,A
87.0,953.0,A
87.0,952.0,A
89.0,953.0,A
88.0,953.0,A
89.0,953.0,A
90.0,953.0,A
89.0,953.0,A
88.0,953.0,A
88.0,953.0,A
90.0,953.0,A
92.0,953.0,A
98.0,953.0,A
95.0,953.0,A
98.0,954.0,A
103.0,954.0,A
105.0,955.0,A
112.0,955.0,A
113.0,955.0,A
123.0,956.0,A
128.0,957.0,A
138.0,957.0,A
147.0,958.0,A
159.0,958.0,A
159.0,959.0,A
173.0,959.0,A
171.0,959.0,A
170.0,959.0,A
172.0,959.0,A
174.0,959.0,A
172.0,959.0,A
174.0,959.0,A
176.0,959.0,B
177.0,959.0,B
176.0,959.0,B
175.0,959.0,B
176.0,959.0,B
172.0,959.0,B
174.0,959.0,B
176.0,959.0,B
175.0,959.0,B
172.0,959.0,B
174.0,959.0,B
174.0,959.0,B
173.0,959.0,B
176.0,959.0,B
175.0,959.0,B
176.0,959.0,B
177.0,959.0,B
177.0,959.0,B
179.0,959.0,B
178.0,959.0,B
179.0,959.0,B
179.0,959.0,B
176.0,959.0,B
177.0,959.0,B
176.0,959.0,B
178.0,959.0,B
178.0,958.0,B
178.0,959.0,B
177.0,959.0,B
177.0,958.0,B
176.0,958.0,B
176.0,958.0,B
180.0,958.0,B
177.0,958.0,B
176.0,958.0,B
178.0,958.0,B
177.0,958.0,B
177.0,958.0,B
178.0,958.0,B
178.0,959.0,B
178.0,959.0,B
178.0,958.0,B
178.0,958.0,B
176.0,958.0,B
178.0,959.0,B
176.0,959.0,B
175.0,959.0,B
175.0,959.0,B
173.0,959.0,B
174.0,959.0,B
173.0,958.0,B
174.0,959.0,B
174.0,959.0,B
175.0,958.0,B
178.0,959.0,B
179.0,959.0,B
178.0,959.0,B
180.0,959.0,B
180.0,959.0,B
178.0,959.0,B
180.0,959.0,B
177.0,959.0,B
179.0,959.0,B
178.0,959.0,B
177.0,959.0,B
178.0,958.0,B
175.0,959.0,B
174.0,959.0,B
173.0,958.0,B
175.0,958.0,B
174.0,958.0,B
173.0,959.0,B
174.0,958.0,B
173.0,959.0,B
172.0,959.0,B
172.0,959.0,B
173.0,959.0,B
173.0,959.0,B
174.0,959.0,B
168.0,959.0,B
168.0,959.0,B
164.0,958.0,B
162.0,958.0,B
160.0,958.0,B
157.0,958.0,B
155.0,958.0,B
158.0,958.0,B
146.0,957.0,B
145.0,957.0,B
