box,sensor,label
85.0,1014.0,A
86.0,1014.0,A
87.0,1014.0,A
86.0,1014.0,A
86.0,1014.0,A
86.0,1014.0,A
85.0,1014.0,A
86.0,1014.0,A
85.0,1014.0,A
85.0,1014.0,A
84.0,1014.0,A
84.0,1014.0,A
87.0,1014.0,A
88.0,1014.0,A
87.0,1014.0,A
86.0,1014.0,A
85.0,1015.0,A
85.0,1015.0,A
87.0,1014.0,A
86.0,1014.0,A
84.0,1015.0,A
84.0,1015.0,A
85.0,1014.0,A
85.0,1015.0,A
84.0,1014.0,A
86.0,1014.0,A
84.0,1014.0,A
86.0,1014.0,A
85.0,1014.0,A
84.0,1014.0,A
85.0,1014.0,A
84.0,1014.0,A
83.0,1014.0,A
83.0,1014.0,A
85.0,1014.0,A
86.0,1014.0,A
86.0,1013.0,A
84.0,1013.0,A
83.0,1014.0,A
83.0,1014.0,A
83.0,1014.0,A
82.0,1014.0,A
81.0,1014.0,A
82.0,1014.0,A
84.0,1014.0,A
84.0,1014.0,A
84.0,1014.0,A
82.0,1014.0,A
84.0,1014.0,A
83.0,1014.0,A
82.0,1014.0,A
82.0,1014.0,A
84.0,1014.0,A
84.0,1014.0,A
81.0,1014.0,A
81.0,1015.0,A
82.0,1014.0,A
82.0,1015.0,A
83.0,1015.0,A
84.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
89.0,1015.0,A
88.0,1015.0,A
88.0,1015.0,A
88.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
85.0,1015.0,A
85.0,1015.0,A
84.0,1014.0,A
84.0,1014.0,A
83.0,1014.0,A
84.0,1014.0,A
86.0,1014.0,A
85.0,1014.0,A
87.0,1014.0,A
84.0,1014.0,A
85.0,1014.0,A
87.0,1014.0,A
90.0,1014.0,A
91.0,1014.0,A
88.0,1014.0,A
88.0,1014.0,A
87.0,1014.0,A
87.0,1014.0,A
86.0,1014.0,A
86.0,1014.0,A
89.0,1014.0,A
84.0,1014.0,A
82.0,1014.0,A
83.0,1014.0,A
80.0,1014.0,A
83.0,1014.0,A
86.0,1014.0,A
88.0,1014.0,A
85.0,1014.0,A
82.0,1014.0,A
83.0,1014.0,A
83.0,1014.0,A
82.0,1014.0,A
83.0,1014.0,A
84.0,1014.0,A
84.0,1014.0,A
84.0,1014.0,A
83.0,1014.0,A
84.0,1014.0,A
85.0,1015.0,A
85.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
84.0,1015.0,A
85.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
85.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
86.0,1014.0,A
87.0,1015.0,B
141.0,1014.0,H
140.0,1014.0,H
141.0,1014.0,H
141.0,1014.0,H
141.0,1014.0,H
142.0,1014.0,H
139.0,1014.0,H
143.0,1014.0,H
140.0,1014.0,H
140.0,1014.0,H
139.0,1014.0,H
140.0,1014.0,H
141.0,1014.0,H
145.0,1014.0,H
143.0,1014.0,H
143.0,1014.0,H
145.0,1014.0,H
144.0,1014.0,H
146.0,1013.0,H
145.0,1013.0,H
143.0,1013.0,H
139.0,1013.0,H
140.0,1013.0,H
139.0,1013.0,H
141.0,1013.0,H
139.0,1013.0,H
139.0,1013.0,H
141.0,1013.0,H
140.0,1013.0,H
143.0,1013.0,H
142.0,1013.0,H
142.0,1013.0,H
142.0,1013.0,H
140.0,1013.0,H
140.0,1013.0,H
141.0,1013.0,H
143.0,1013.0,H
143.0,1013.0,H
144.0,1014.0,H
143.0,1013.0,H
144.0,1013.0,H
142.0,1013.0,H
148.0,1014.0,H
148.0,1013.0,H
149.0,1013.0,H
152.0,1013.0,H
156.0,1014.0,H
155.0,1013.0,H
154.0,1013.0,H
158.0,1013.0,H
155.0,1014.0,H
157.0,1014.0,H
159.0,1014.0,H
159.0,1014.0,H
158.0,1014.0,H
153.0,1014.0,H
158.0,1013.0,H
154.0,1013.0,H
149.0,1014.0,H
150.0,1013.0,H
146.0,1013.0,H
149.0,1013.0,H
144.0,1013.0,H
148.0,1013.0,H
147.0,1013.0,H
145.0,1013.0,H
145.0,1013.0,H
144.0,1013.0,H
143.0,1013.0,H
149.0,1013.0,H
146.0,1013.0,H
149.0,1013.0,H
146.0,1013.0,H
147.0,1013.0,H
144.0,1013.0,H
146.0,1013.0,H
147.0,1013.0,H
144.0,1013.0,I
192.0,1012.0,D
192.0,1012.0,D
191.0,1011.0,D
192.0,1011.0,D
192.0,1012.0,D
190.0,1012.0,D
191.0,1011.0,D
193.0,1011.0,D
190.0,1011.0,D
190.0,1011.0,D
185.0,1011.0,D
191.0,1011.0,D
190.0,1012.0,D
194.0,1011.0,D
193.0,1011.0,D
187.0,1012.0,D
190.0,1012.0,D
193.0,1012.0,D
189.0,1012.0,D
190.0,1012.0,D
188.0,1012.0,D
188.0,1012.0,D
190.0,1012.0,D
188.0,1012.0,D
191.0,1012.0,D
191.0,1012.0,D
192.0,1012.0,D
191.0,1012.0,D
193.0,1012.0,D
190.0,1012.0,D
191.0,1012.0,D
190.0,1013.0,D
192.0,1013.0,D
192.0,1012.0,D
195.0,1012.0,D
195.0,1012.0,D
193.0,1012.0,D
196.0,1012.0,D
194.0,1012.0,D
195.0,1012.0,D
193.0,1012.0,D
195.0,1012.0,D
197.0,1012.0,D
192.0,1012.0,D
197.0,1012.0,D
192.0,1012.0,D
194.0,1012.0,D
196.0,1012.0,D
196.0,1012.0,D
195.0,1012.0,D
197.0,1012.0,D
198.0,1012.0,D
193.0,1011.0,D
195.0,1011.0,D
197.0,1011.0,D
196.0,1012.0,D
194.0,1011.0,D
190.0,1011.0,D
195.0,1011.0,D
194.0,1012.0,D
192.0,1012.0,D
194.0,1012.0,D
193.0,1012.0,D
193.0,1012.0,D
194.0,1012.0,D
195.0,1012.0,D
189.0,1012.0,D
194.0,1012.0,D
190.0,1012.0,D
193.0,1012.0,D
187.0,1013.0,D
186.0,1013.0,D
185.0,1013.0,D
189.0,1012.0,D
191.0,1013.0,D
185.0,1013.0,D
188.0,1013.0,D
183.0,1013.0,D
177.0,1013.0,D
177.0,1013.0,D
176.0,1013.0,D
173.0,1013.0,D
171.0,1014.0,D
170.0,1014.0,D
165.0,1014.0,D
165.0,1014.0,D
157.0,1014.0,D
158.0,1014.0,D
159.0,1014.0,D
157.0,1014.0,D
158.0,1014.0,D
158.0,1014.0,D
158.0,1013.0,D
155.0,1014.0,D
157.0,1013.0,D
156.0,1013.0,D
157.0,1013.0,D
156.0,1013.0,D
154.0,1013.0,D
