x,y,z,Label
16572.0,-468.0,1324.0,A
16756.0,-304.0,0.0,A
16432.0,2268.0,564.0,A
16476.0,2200.0,404.0,A
16520.0,2376.0,384.0,A
16612.0,2392.0,520.0,A
16544.0,2376.0,604.0,A
16328.0,2244.0,444.0,A
16448.0,2212.0,600.0,A
16656.0,2312.0,472.0,A
16392.0,2296.0,424.0,A
16564.0,2376.0,600.0,A
16600.0,2168.0,468.0,A
16476.0,2288.0,564.0,A
16640.0,2500.0,496.0,A
16412.0,2196.0,632.0,A
16520.0,2284.0,520.0,A
16484.0,2392.0,476.0,A
16468.0,2284.0,600.0,A
16548.0,2232.0,520.0,A
16668.0,2228.0,412.0,A
16556.0,2292.0,568.0,A
16444.0,3180.0,976.0,B
14824.0,8380.0,-192.0,B
16740.0,5048.0,-6124.0,B
17676.0,-436.0,-3068.0,B
15796.0,2704.0,992.0,B
15720.0,2708.0,1276.0,B
15912.0,3032.0,1516.0,B
16136.0,3244.0,1372.0,B
16344.0,3444.0,1292.0,B
16272.0,3416.0,1320.0,B
15916.0,3360.0,1816.0,B
16312.0,4076.0,1268.0,B
16336.0,3844.0,1436.0,B
16152.0,3492.0,1300.0,B
16360.0,3672.0,1372.0,B
16280.0,3700.0,1264.0,B
16396.0,3688.0,1292.0,B
16188.0,3660.0,1312.0,B
16236.0,3308.0,1400.0,B
16384.0,3156.0,1408.0,B
16344.0,3400.0,1236.0,B
16388.0,3284.0,1188.0,B
16336.0,3336.0,1492.0,B
16160.0,3300.0,1504.0,B
16980.0,44.0,1328.0,C
18488.0,-1236.0,-5160.0,C
16088.0,8264.0,-10508.0,C
13440.0,11448.0,-2532.0,C
15572.0,7328.0,920.0,C
15872.0,8588.0,-196.0,C
14128.0,11728.0,2276.0,C
14988.0,6324.0,1288.0,C
15756.0,5788.0,868.0,C
15328.0,5292.0,532.0,C
15520.0,5732.0,680.0,C
15816.0,6352.0,540.0,C
15468.0,5996.0,772.0,C
15576.0,6076.0,608.0,C
15724.0,6032.0,764.0,C
15212.0,6124.0,684.0,C
15812.0,5856.0,504.0,C
15772.0,5600.0,536.0,C
15408.0,5524.0,656.0,C
15348.0,5820.0,652.0,C
15596.0,6044.0,768.0,C
16008.0,5856.0,556.0,C
15316.0,5592.0,816.0,C
15500.0,6108.0,728.0,C
15800.0,6068.0,812.0,C
15492.0,6004.0,812.0,C
14844.0,6416.0,1208.0,D
13256.0,9212.0,1452.0,D
12640.0,9124.0,-2064.0,D
12548.0,11120.0,-2924.0,D
10576.0,14152.0,-2212.0,D
8344.0,14040.0,-1296.0,D
5332.0,15452.0,256.0,D
4000.0,16492.0,-68.0,D
2888.0,17424.0,724.0,D
3076.0,16668.0,384.0,D
3504.0,15796.0,600.0,D
3016.0,15764.0,956.0,D
3608.0,16060.0,820.0,D
3324.0,16268.0,732.0,D
3320.0,16240.0,752.0,D
3540.0,16148.0,696.0,D
3436.0,16020.0,696.0,D
3428.0,15964.0,560.0,D
3424.0,16408.0,616.0,D
3588.0,16200.0,548.0,D
3512.0,16208.0,580.0,D
3624.0,16128.0,820.0,D
3312.0,15912.0,768.0,D
3748.0,15940.0,676.0,D
3624.0,16212.0,676.0,D
3728.0,16016.0,680.0,D
3552.0,16104.0,628.0,D
3576.0,15960.0,664.0,D
