box,sensor,label
87.0,1015.0,A
89.0,1015.0,A
89.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
89.0,1015.0,A
86.0,1015.0,A
88.0,1015.0,A
89.0,1015.0,A
88.0,1015.0,A
86.0,1015.0,A
90.0,1015.0,A
89.0,1016.0,A
89.0,1015.0,A
88.0,1015.0,A
89.0,1016.0,A
90.0,1015.0,A
90.0,1015.0,A
88.0,1015.0,A
88.0,1015.0,A
92.0,1015.0,A
88.0,1015.0,A
86.0,1015.0,A
88.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
88.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
88.0,1015.0,A
87.0,1015.0,A
88.0,1015.0,A
85.0,1015.0,A
88.0,1015.0,A
86.0,1015.0,A
85.0,1015.0,A
84.0,1015.0,A
84.0,1015.0,A
84.0,1015.0,A
85.0,1015.0,A
84.0,1016.0,A
84.0,1015.0,A
84.0,1015.0,A
85.0,1016.0,A
85.0,1015.0,A
84.0,1015.0,A
84.0,1015.0,A
84.0,1015.0,A
83.0,1015.0,A
86.0,1015.0,A
83.0,1015.0,A
84.0,1015.0,A
85.0,1015.0,A
86.0,1015.0,A
85.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
85.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
85.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
85.0,1015.0,A
84.0,1015.0,A
90.0,1015.0,A
89.0,1015.0,A
90.0,1015.0,A
91.0,1015.0,A
91.0,1015.0,A
88.0,1015.0,A
88.0,1015.0,A
88.0,1015.0,A
90.0,1015.0,A
89.0,1015.0,A
89.0,1015.0,A
88.0,1015.0,A
87.0,1015.0,A
89.0,1015.0,A
89.0,1015.0,A
90.0,1015.0,A
89.0,1015.0,A
89.0,1015.0,A
87.0,1015.0,A
88.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
85.0,1015.0,A
85.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
87.0,1016.0,A
87.0,1016.0,A
87.0,1016.0,A
87.0,1016.0,A
87.0,1015.0,A
86.0,1015.0,A
85.0,1016.0,A
86.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
87.0,1015.0,A
86.0,1015.0,A
86.0,1015.0,A
85.0,1015.0,A
