box_width,box_height,sensor,label
90.0,90.0,57.0,0.0
89.0,89.0,57.0,0.0
89.0,89.0,57.0,0.0
88.0,88.0,57.0,0.0
89.0,89.0,57.0,0.0
90.0,90.0,57.0,0.0
89.0,89.0,57.0,0.0
87.0,87.0,57.0,0.0
88.0,88.0,58.0,0.0
87.0,87.0,58.0,0.0
90.0,90.0,57.0,0.0
90.0,90.0,57.0,0.0
88.0,88.0,57.0,0.0
88.0,88.0,57.0,0.0
90.0,90.0,57.0,0.0
87.0,87.0,57.0,0.0
89.0,89.0,57.0,0.0
88.0,88.0,58.0,0.0
89.0,89.0,58.0,0.0
89.0,89.0,58.0,0.0
89.0,89.0,57.0,0.0
87.0,87.0,57.0,0.0
88.0,88.0,57.0,0.0
87.0,87.0,58.0,0.0
89.0,89.0,58.0,0.0
87.0,87.0,57.0,0.0
88.0,88.0,57.0,0.0
88.0,88.0,58.0,0.0
86.0,86.0,57.0,0.0
88.0,88.0,57.0,0.0
87.0,87.0,58.0,0.0
87.0,87.0,58.0,0.0
86.0,86.0,58.0,0.0
86.0,86.0,58.0,0.0
89.0,89.0,58.0,0.0
87.0,87.0,58.0,0.0
86.0,86.0,58.0,0.0
87.0,87.0,57.0,0.0
88.0,88.0,57.0,0.0
87.0,87.0,58.0,0.0
86.0,86.0,58.0,0.0
86.0,86.0,58.0,0.0
87.0,87.0,58.0,0.0
85.0,85.0,58.0,0.0
86.0,86.0,58.0,0.0
88.0,88.0,59.0,0.0
87.0,87.0,59.0,0.0
87.0,87.0,60.0,0.0
86.0,86.0,62.0,0.0
88.0,88.0,62.0,0.0
86.0,86.0,63.0,0.0
88.0,88.0,63.0,0.0
86.0,86.0,63.0,0.0
86.0,86.0,62.0,0.0
87.0,87.0,63.0,0.0
86.0,86.0,63.0,0.0
86.0,86.0,64.0,0.0
86.0,86.0,64.0,0.0
178.0,178.0,24.0,1.0
176.0,176.0,26.0,1.0
175.0,175.0,26.0,1.0
172.0,172.0,26.0,1.0
175.0,175.0,25.0,1.0
177.0,177.0,25.0,1.0
177.0,177.0,25.0,1.0
177.0,177.0,26.0,1.0
177.0,177.0,26.0,1.0
173.0,173.0,25.0,1.0
175.0,175.0,25.0,1.0
173.0,173.0,25.0,1.0
176.0,176.0,25.0,1.0
175.0,175.0,25.0,1.0
176.0,176.0,25.0,1.0
175.0,175.0,25.0,1.0
178.0,178.0,25.0,1.0
182.0,182.0,25.0,1.0
180.0,180.0,25.0,1.0
180.0,180.0,25.0,1.0
177.0,177.0,26.0,1.0
176.0,176.0,26.0,1.0
178.0,178.0,26.0,1.0
176.0,176.0,26.0,1.0
177.0,177.0,26.0,1.0
177.0,177.0,26.0,1.0
177.0,177.0,26.0,1.0
176.0,176.0,26.0,1.0
175.0,175.0,26.0,1.0
175.0,175.0,59.0,1.0
174.0,174.0,59.0,1.0
179.0,179.0,26.0,1.0
179.0,179.0,25.0,1.0
177.0,177.0,25.0,1.0
180.0,180.0,25.0,1.0
178.0,178.0,25.0,1.0
181.0,181.0,25.0,1.0
178.0,178.0,25.0,1.0
179.0,179.0,25.0,1.0
175.0,175.0,25.0,1.0
174.0,174.0,25.0,1.0
175.0,175.0,25.0,1.0
174.0,174.0,25.0,1.0
174.0,174.0,25.0,1.0
173.0,173.0,25.0,1.0
173.0,173.0,25.0,1.0
174.0,174.0,25.0,1.0
174.0,174.0,24.0,1.0
176.0,176.0,24.0,1.0
175.0,175.0,25.0,1.0
177.0,177.0,25.0,1.0
177.0,177.0,25.0,1.0
175.0,175.0,25.0,1.0
175.0,175.0,24.0,1.0
178.0,178.0,24.0,1.0
171.0,171.0,24.0,1.0
176.0,176.0,25.0,1.0
176.0,176.0,25.0,1.0
177.0,177.0,25.0,1.0
176.0,176.0,25.0,1.0
174.0,174.0,24.0,1.0
