box,sensor,label
81.0,60.0,0.0
83.0,61.0,0.0
81.0,61.0,0.0
80.0,61.0,0.0
81.0,61.0,0.0
81.0,60.0,0.0
80.0,61.0,0.0
81.0,61.0,0.0
81.0,61.0,0.0
84.0,60.0,0.0
78.0,60.0,0.0
80.0,61.0,0.0
81.0,63.0,0.0
81.0,62.0,0.0
81.0,62.0,0.0
81.0,59.0,0.0
81.0,59.0,0.0
80.0,60.0,0.0
80.0,61.0,0.0
81.0,61.0,0.0
80.0,61.0,0.0
79.0,60.0,0.0
81.0,61.0,0.0
79.0,61.0,0.0
80.0,62.0,0.0
81.0,61.0,0.0
82.0,62.0,0.0
82.0,61.0,0.0
79.0,62.0,0.0
80.0,60.0,0.0
81.0,60.0,0.0
81.0,59.0,0.0
80.0,60.0,0.0
79.0,60.0,0.0
78.0,60.0,0.0
78.0,60.0,0.0
81.0,59.0,0.0
78.0,59.0,0.0
82.0,60.0,0.0
79.0,60.0,0.0
81.0,60.0,0.0
82.0,60.0,0.0
80.0,60.0,0.0
80.0,60.0,0.0
82.0,59.0,0.0
81.0,60.0,0.0
81.0,59.0,0.0
82.0,59.0,0.0
81.0,60.0,0.0
82.0,60.0,0.0
80.0,59.0,0.0
80.0,60.0,0.0
81.0,60.0,0.0
80.0,60.0,0.0
80.0,60.0,0.0
83.0,59.0,0.0
83.0,59.0,0.0
83.0,58.0,0.0
87.0,58.0,0.0
90.0,55.0,0.0
94.0,52.0,0.0
99.0,50.0,0.0
105.0,46.0,0.0
112.0,42.0,0.0
118.0,42.0,0.0
126.0,47.0,0.0
135.0,39.0,0.0
135.0,39.0,0.0
139.0,36.0,0.0
147.0,32.0,0.0
147.0,32.0,0.0
156.0,29.0,0.0
165.0,27.0,0.0
166.0,26.0,0.0
172.0,26.0,0.0
173.0,26.0,0.0
177.0,25.0,0.0
181.0,25.0,0.0
176.0,25.0,0.0
177.0,25.0,0.0
177.0,25.0,0.0
176.0,24.0,1.0
179.0,25.0,1.0
180.0,25.0,1.0
179.0,25.0,1.0
180.0,25.0,1.0
181.0,25.0,1.0
179.0,24.0,1.0
181.0,24.0,1.0
179.0,24.0,1.0
181.0,28.0,1.0
179.0,29.0,1.0
181.0,27.0,1.0
182.0,27.0,1.0
179.0,27.0,1.0
178.0,28.0,1.0
176.0,26.0,1.0
178.0,25.0,1.0
180.0,25.0,1.0
181.0,24.0,1.0
180.0,25.0,1.0
180.0,25.0,1.0
181.0,25.0,1.0
179.0,24.0,1.0
173.0,24.0,1.0
174.0,23.0,1.0
176.0,24.0,1.0
177.0,23.0,1.0
181.0,23.0,1.0
184.0,23.0,1.0
184.0,23.0,1.0
179.0,23.0,1.0
180.0,23.0,1.0
185.0,22.0,1.0
185.0,23.0,1.0
182.0,23.0,1.0
180.0,23.0,1.0
182.0,23.0,1.0
185.0,23.0,1.0
188.0,23.0,1.0
188.0,23.0,1.0
184.0,24.0,1.0
179.0,23.0,1.0
184.0,23.0,1.0
181.0,23.0,1.0
184.0,24.0,1.0
184.0,24.0,1.0
185.0,24.0,1.0
187.0,24.0,1.0
183.0,24.0,1.0
183.0,24.0,1.0
185.0,26.0,1.0
185.0,26.0,1.0
185.0,27.0,1.0
190.0,26.0,1.0
185.0,26.0,1.0
188.0,26.0,1.0
186.0,27.0,1.0
189.0,26.0,1.0
186.0,26.0,1.0
183.0,26.0,1.0
182.0,26.0,1.0
182.0,26.0,1.0
182.0,27.0,1.0
185.0,26.0,1.0
185.0,25.0,1.0
182.0,25.0,1.0
185.0,26.0,1.0
183.0,25.0,1.0
183.0,25.0,1.0
