box_width,box_height,sensor,label
75.0,75.0,70.0,0.0
71.0,71.0,71.0,0.0
75.0,75.0,72.0,0.0
73.0,73.0,71.0,0.0
73.0,73.0,70.0,0.0
73.0,73.0,70.0,0.0
73.0,73.0,70.0,0.0
77.0,77.0,71.0,0.0
76.0,76.0,75.0,0.0
74.0,74.0,75.0,0.0
73.0,73.0,84.0,0.0
75.0,75.0,84.0,0.0
73.0,73.0,86.0,0.0
73.0,73.0,86.0,0.0
73.0,73.0,71.0,0.0
72.0,72.0,82.0,0.0
72.0,72.0,78.0,0.0
72.0,72.0,78.0,0.0
71.0,71.0,71.0,0.0
71.0,71.0,72.0,0.0
69.0,69.0,72.0,0.0
73.0,73.0,70.0,0.0
73.0,73.0,71.0,0.0
69.0,69.0,71.0,0.0
70.0,70.0,70.0,0.0
69.0,69.0,79.0,0.0
73.0,73.0,72.0,0.0
68.0,68.0,72.0,0.0
69.0,69.0,71.0,0.0
68.0,68.0,72.0,0.0
68.0,68.0,72.0,0.0
69.0,69.0,74.0,0.0
69.0,69.0,73.0,0.0
70.0,70.0,73.0,0.0
73.0,73.0,74.0,0.0
68.0,68.0,72.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,72.0,0.0
68.0,68.0,72.0,0.0
67.0,67.0,71.0,0.0
67.0,67.0,71.0,0.0
68.0,68.0,71.0,0.0
68.0,68.0,70.0,0.0
67.0,67.0,70.0,0.0
67.0,67.0,70.0,0.0
70.0,70.0,70.0,0.0
68.0,68.0,70.0,0.0
68.0,68.0,70.0,0.0
71.0,71.0,70.0,0.0
71.0,71.0,71.0,0.0
69.0,69.0,70.0,0.0
70.0,70.0,70.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,70.0,0.0
68.0,68.0,70.0,0.0
69.0,69.0,72.0,0.0
70.0,70.0,72.0,0.0
70.0,70.0,72.0,0.0
70.0,70.0,72.0,0.0
69.0,69.0,72.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,72.0,0.0
69.0,69.0,72.0,0.0
70.0,70.0,72.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,71.0,0.0
69.0,69.0,73.0,0.0
69.0,69.0,73.0,0.0
68.0,68.0,71.0,0.0
68.0,68.0,71.0,0.0
160.0,160.0,25.0,1.0
160.0,160.0,25.0,1.0
160.0,160.0,26.0,1.0
159.0,159.0,26.0,1.0
159.0,159.0,26.0,1.0
159.0,159.0,25.0,1.0
160.0,160.0,25.0,1.0
160.0,160.0,26.0,1.0
158.0,158.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
159.0,159.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
158.0,158.0,26.0,1.0
158.0,158.0,26.0,1.0
162.0,162.0,26.0,1.0
159.0,159.0,26.0,1.0
159.0,159.0,26.0,1.0
159.0,159.0,26.0,1.0
161.0,161.0,26.0,1.0
160.0,160.0,26.0,1.0
162.0,162.0,25.0,1.0
162.0,162.0,26.0,1.0
160.0,160.0,26.0,1.0
159.0,159.0,26.0,1.0
161.0,161.0,25.0,1.0
159.0,159.0,25.0,1.0
159.0,159.0,25.0,1.0
161.0,161.0,26.0,1.0
158.0,158.0,26.0,1.0
159.0,159.0,25.0,1.0
159.0,159.0,26.0,1.0
160.0,160.0,26.0,1.0
161.0,161.0,26.0,1.0
160.0,160.0,26.0,1.0
150.0,150.0,26.0,1.0
155.0,155.0,26.0,1.0
149.0,149.0,26.0,1.0
149.0,149.0,26.0,1.0
145.0,145.0,26.0,1.0
148.0,148.0,26.0,1.0
157.0,157.0,26.0,1.0
146.0,146.0,26.0,1.0
146.0,146.0,26.0,1.0
146.0,146.0,26.0,1.0
153.0,153.0,26.0,1.0
157.0,157.0,26.0,1.0
157.0,157.0,26.0,1.0
151.0,151.0,26.0,1.0
149.0,149.0,26.0,1.0
151.0,151.0,26.0,1.0
151.0,151.0,26.0,1.0
152.0,152.0,26.0,1.0
150.0,150.0,26.0,1.0
151.0,151.0,26.0,1.0
151.0,151.0,26.0,1.0
157.0,157.0,26.0,1.0
154.0,154.0,26.0,1.0
159.0,159.0,25.0,1.0
155.0,155.0,25.0,1.0
155.0,155.0,26.0,1.0
156.0,156.0,26.0,1.0
158.0,158.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
155.0,155.0,26.0,1.0
153.0,153.0,26.0,1.0
160.0,160.0,26.0,1.0
160.0,160.0,26.0,1.0
156.0,156.0,26.0,1.0
156.0,156.0,26.0,1.0
155.0,155.0,26.0,1.0
155.0,155.0,26.0,1.0
