box_width,box_height,sensor,label
84.0,84.0,58.0,0.0
86.0,86.0,59.0,0.0
90.0,90.0,57.0,0.0
89.0,89.0,57.0,0.0
89.0,89.0,57.0,0.0
86.0,86.0,57.0,0.0
88.0,88.0,57.0,0.0
88.0,88.0,57.0,0.0
88.0,88.0,57.0,0.0
87.0,87.0,57.0,0.0
86.0,86.0,57.0,0.0
87.0,87.0,57.0,0.0
87.0,87.0,58.0,0.0
86.0,86.0,58.0,0.0
88.0,88.0,58.0,0.0
87.0,87.0,58.0,0.0
88.0,88.0,58.0,0.0
86.0,86.0,58.0,0.0
86.0,86.0,58.0,0.0
86.0,86.0,58.0,0.0
87.0,87.0,58.0,0.0
87.0,87.0,57.0,0.0
87.0,87.0,57.0,0.0
87.0,87.0,58.0,0.0
86.0,86.0,58.0,0.0
87.0,87.0,57.0,0.0
85.0,85.0,57.0,0.0
86.0,86.0,57.0,0.0
87.0,87.0,57.0,0.0
87.0,87.0,57.0,0.0
88.0,88.0,58.0,0.0
86.0,86.0,58.0,0.0
86.0,86.0,57.0,0.0
84.0,84.0,57.0,0.0
87.0,87.0,57.0,0.0
84.0,84.0,57.0,0.0
85.0,85.0,57.0,0.0
85.0,85.0,57.0,0.0
85.0,85.0,57.0,0.0
86.0,86.0,57.0,0.0
84.0,84.0,57.0,0.0
85.0,85.0,57.0,0.0
86.0,86.0,57.0,0.0
85.0,85.0,57.0,0.0
84.0,84.0,57.0,0.0
84.0,84.0,57.0,0.0
87.0,87.0,57.0,0.0
84.0,84.0,57.0,0.0
84.0,84.0,57.0,0.0
84.0,84.0,57.0,0.0
83.0,83.0,57.0,0.0
86.0,86.0,57.0,0.0
85.0,85.0,57.0,0.0
84.0,84.0,58.0,0.0
174.0,174.0,34.0,1.0
166.0,166.0,27.0,1.0
169.0,169.0,27.0,1.0
166.0,166.0,27.0,1.0
167.0,167.0,27.0,1.0
172.0,172.0,26.0,1.0
170.0,170.0,26.0,1.0
168.0,168.0,26.0,1.0
172.0,172.0,27.0,1.0
167.0,167.0,26.0,1.0
170.0,170.0,27.0,1.0
168.0,168.0,27.0,1.0
168.0,168.0,27.0,1.0
167.0,167.0,26.0,1.0
166.0,166.0,27.0,1.0
168.0,168.0,27.0,1.0
173.0,173.0,26.0,1.0
168.0,168.0,26.0,1.0
170.0,170.0,26.0,1.0
166.0,166.0,26.0,1.0
166.0,166.0,27.0,1.0
169.0,169.0,27.0,1.0
167.0,167.0,26.0,1.0
167.0,167.0,25.0,1.0
167.0,167.0,26.0,1.0
165.0,165.0,26.0,1.0
166.0,166.0,26.0,1.0
171.0,171.0,26.0,1.0
166.0,166.0,26.0,1.0
167.0,167.0,27.0,1.0
164.0,164.0,26.0,1.0
168.0,168.0,26.0,1.0
163.0,163.0,26.0,1.0
168.0,168.0,26.0,1.0
166.0,166.0,26.0,1.0
166.0,166.0,26.0,1.0
173.0,173.0,26.0,1.0
172.0,172.0,26.0,1.0
170.0,170.0,26.0,1.0
171.0,171.0,26.0,1.0
166.0,166.0,26.0,1.0
170.0,170.0,25.0,1.0
166.0,166.0,26.0,1.0
169.0,169.0,25.0,1.0
169.0,169.0,25.0,1.0
171.0,171.0,26.0,1.0
170.0,170.0,26.0,1.0
