@relation TestData
@attribute box numeric
@attribute sensor numeric
@attribute label {A,B}
@data
88.0,957.0,A
90.0,957.0,A
89.0,957.0,A
90.0,957.0,A
89.0,957.0,A
88.0,957.0,A
88.0,957.0,A
89.0,957.0,A
90.0,957.0,A
91.0,956.0,A
91.0,957.0,A
93.0,957.0,A
95.0,957.0,A
92.0,957.0,A
92.0,957.0,A
91.0,957.0,A
95.0,956.0,A
93.0,956.0,A
94.0,957.0,A
90.0,957.0,A
92.0,957.0,A
91.0,956.0,A
94.0,957.0,A
91.0,957.0,A
91.0,957.0,A
91.0,957.0,A
91.0,957.0,A
94.0,957.0,A
91.0,957.0,A
89.0,957.0,A
91.0,957.0,A
87.0,957.0,A
91.0,957.0,A
89.0,957.0,A
91.0,957.0,A
90.0,957.0,A
86.0,957.0,A
88.0,957.0,A
90.0,957.0,A
90.0,957.0,A
86.0,957.0,A
88.0,957.0,A
92.0,957.0,A
89.0,957.0,A
89.0,957.0,A
88.0,957.0,A
90.0,957.0,A
93.0,957.0,A
89.0,957.0,A
90.0,957.0,A
95.0,957.0,A
94.0,957.0,A
90.0,957.0,A
90.0,957.0,A
91.0,957.0,A
95.0,957.0,A
92.0,956.0,A
93.0,956.0,A
93.0,956.0,A
90.0,957.0,A
93.0,957.0,A
87.0,957.0,A
91.0,957.0,A
91.0,957.0,A
88.0,957.0,A
86.0,957.0,A
89.0,957.0,A
90.0,957.0,A
88.0,957.0,A
86.0,957.0,A
86.0,957.0,A
88.0,957.0,A
92.0,957.0,A
90.0,957.0,A
92.0,957.0,A
88.0,957.0,A
91.0,957.0,A
92.0,957.0,A
90.0,957.0,A
90.0,957.0,A
90.0,957.0,A
91.0,957.0,A
91.0,957.0,A
90.0,957.0,A
92.0,957.0,A
92.0,957.0,A
94.0,957.0,A
95.0,957.0,A
95.0,957.0,A
94.0,957.0,A
93.0,957.0,A
93.0,957.0,A
92.0,957.0,A
92.0,957.0,A
93.0,957.0,A
92.0,957.0,A
95.0,957.0,A
93.0,957.0,A
95.0,957.0,A
94.0,957.0,A
95.0,957.0,A
96.0,957.0,A
95.0,957.0,A
94.0,957.0,B
92.0,957.0,B
94.0,957.0,B
94.0,957.0,B
95.0,957.0,B
93.0,957.0,B
95.0,957.0,B
93.0,957.0,B
94.0,957.0,B
93.0,957.0,B
94.0,957.0,B
95.0,957.0,B
96.0,957.0,B
94.0,957.0,B
94.0,957.0,B
94.0,957.0,B
95.0,957.0,B
97.0,957.0,B
100.0,957.0,B
103.0,958.0,B
103.0,958.0,B
107.0,958.0,B
112.0,958.0,B
113.0,959.0,B
120.0,959.0,B
120.0,959.0,B
129.0,959.0,B
134.0,960.0,B
147.0,960.0,B
171.0,960.0,B
176.0,961.0,B
179.0,962.0,B
186.0,963.0,B
191.0,963.0,B
197.0,963.0,B
200.0,962.0,B
