box,sensor,label
90.0,52.0,0.0
89.0,52.0,0.0
91.0,52.0,0.0
91.0,52.0,0.0
90.0,51.0,0.0
90.0,51.0,0.0
91.0,52.0,0.0
90.0,52.0,0.0
92.0,52.0,0.0
91.0,52.0,0.0
91.0,52.0,0.0
91.0,52.0,0.0
92.0,51.0,0.0
91.0,51.0,0.0
90.0,51.0,0.0
91.0,51.0,0.0
90.0,52.0,0.0
90.0,51.0,0.0
91.0,52.0,0.0
90.0,51.0,0.0
88.0,51.0,0.0
92.0,51.0,0.0
89.0,51.0,0.0
92.0,52.0,0.0
91.0,52.0,0.0
91.0,52.0,0.0
92.0,52.0,0.0
91.0,52.0,0.0
90.0,53.0,0.0
90.0,52.0,0.0
91.0,52.0,0.0
91.0,52.0,0.0
88.0,52.0,0.0
91.0,53.0,0.0
92.0,55.0,0.0
90.0,55.0,0.0
88.0,52.0,0.0
88.0,52.0,0.0
89.0,53.0,0.0
88.0,53.0,0.0
88.0,53.0,0.0
91.0,54.0,0.0
89.0,54.0,0.0
91.0,53.0,0.0
93.0,53.0,0.0
91.0,53.0,0.0
92.0,52.0,0.0
88.0,53.0,0.0
90.0,53.0,0.0
91.0,54.0,0.0
91.0,57.0,0.0
92.0,53.0,0.0
93.0,53.0,0.0
93.0,53.0,0.0
93.0,56.0,0.0
90.0,55.0,0.0
91.0,55.0,0.0
89.0,54.0,0.0
88.0,51.0,0.0
89.0,52.0,0.0
92.0,53.0,0.0
89.0,52.0,0.0
90.0,52.0,0.0
88.0,52.0,0.0
90.0,51.0,0.0
90.0,51.0,0.0
88.0,52.0,0.0
90.0,52.0,0.0
89.0,52.0,0.0
90.0,51.0,0.0
92.0,51.0,0.0
90.0,52.0,0.0
90.0,52.0,0.0
91.0,51.0,0.0
90.0,51.0,0.0
93.0,51.0,0.0
93.0,51.0,0.0
90.0,51.0,0.0
91.0,51.0,0.0
91.0,51.0,0.0
92.0,51.0,0.0
92.0,51.0,0.0
92.0,51.0,0.0
91.0,51.0,0.0
89.0,51.0,0.0
92.0,52.0,0.0
90.0,54.0,0.0
91.0,54.0,0.0
91.0,54.0,0.0
90.0,54.0,0.0
92.0,52.0,0.0
90.0,51.0,0.0
90.0,51.0,0.0
88.0,51.0,0.0
89.0,52.0,0.0
88.0,52.0,0.0
90.0,52.0,0.0
90.0,52.0,0.0
90.0,52.0,0.0
92.0,53.0,0.0
92.0,52.0,0.0
93.0,51.0,0.0
93.0,51.0,0.0
92.0,51.0,0.0
92.0,53.0,0.0
92.0,53.0,0.0
95.0,53.0,0.0
93.0,51.0,0.0
97.0,50.0,0.0
99.0,50.0,0.0
103.0,46.0,0.0
110.0,46.0,0.0
114.0,46.0,0.0
119.0,43.0,0.0
127.0,40.0,0.0
131.0,40.0,0.0
136.0,37.0,0.0
139.0,34.0,0.0
147.0,33.0,0.0
154.0,33.0,0.0
154.0,30.0,0.0
156.0,28.0,0.0
168.0,28.0,0.0
169.0,28.0,0.0
172.0,28.0,0.0
168.0,27.0,0.0
170.0,27.0,0.0
175.0,25.0,0.0
181.0,24.0,0.0
188.0,23.0,0.0
186.0,23.0,0.0
187.0,23.0,0.0
190.0,23.0,0.0
190.0,23.0,0.0
185.0,23.0,0.0
180.0,22.0,1.0
188.0,21.0,1.0
188.0,21.0,1.0
184.0,23.0,1.0
198.0,25.0,1.0
186.0,25.0,1.0
190.0,23.0,1.0
189.0,22.0,1.0
187.0,22.0,1.0
188.0,22.0,1.0
192.0,23.0,1.0
193.0,23.0,1.0
192.0,23.0,1.0
192.0,22.0,1.0
192.0,22.0,1.0
192.0,22.0,1.0
195.0,22.0,1.0
197.0,22.0,1.0
200.0,22.0,1.0
200.0,22.0,1.0
200.0,23.0,1.0
200.0,22.0,1.0
190.0,23.0,1.0
200.0,23.0,1.0
199.0,23.0,1.0
199.0,23.0,1.0
199.0,23.0,1.0
199.0,23.0,1.0
197.0,23.0,1.0
196.0,22.0,1.0
198.0,22.0,1.0
194.0,23.0,1.0
197.0,23.0,1.0
190.0,23.0,1.0
185.0,23.0,1.0
185.0,23.0,1.0
186.0,23.0,1.0
189.0,23.0,1.0
192.0,23.0,1.0
188.0,25.0,1.0
188.0,24.0,1.0
189.0,26.0,1.0
186.0,26.0,1.0
186.0,26.0,1.0
187.0,28.0,1.0
187.0,27.0,1.0
189.0,30.0,1.0
185.0,30.0,1.0
185.0,28.0,1.0
187.0,27.0,1.0
189.0,29.0,1.0
187.0,29.0,1.0
188.0,30.0,1.0
187.0,27.0,1.0
191.0,27.0,1.0
194.0,26.0,1.0
191.0,29.0,1.0
190.0,28.0,1.0
190.0,28.0,1.0
192.0,26.0,1.0
184.0,25.0,1.0
196.0,24.0,1.0
190.0,24.0,1.0
189.0,24.0,1.0
188.0,24.0,1.0
187.0,24.0,1.0
192.0,24.0,1.0
190.0,23.0,1.0
191.0,23.0,1.0
187.0,23.0,1.0
196.0,23.0,1.0
189.0,23.0,1.0
195.0,24.0,1.0
198.0,24.0,1.0
191.0,24.0,1.0
191.0,24.0,1.0
193.0,24.0,1.0
192.0,24.0,1.0
188.0,24.0,1.0
190.0,23.0,1.0
186.0,23.0,1.0
188.0,23.0,1.0
193.0,23.0,1.0
193.0,23.0,1.0
191.0,23.0,1.0
