@relation accData
@attribute box numeric
@attribute sensor numeric
@attribute label numeric
@data
104.0,48.0,1.0
106.0,47.0,1.0
105.0,47.0,1.0
105.0,47.0,1.0
103.0,47.0,1.0
103.0,47.0,1.0
104.0,47.0,1.0
105.0,47.0,1.0
104.0,48.0,1.0
104.0,51.0,1.0
103.0,46.0,1.0
110.0,46.0,1.0
110.0,47.0,1.0
105.0,48.0,1.0
105.0,50.0,1.0
106.0,50.0,1.0
100.0,49.0,1.0
100.0,51.0,1.0
99.0,50.0,1.0
99.0,50.0,1.0
100.0,47.0,1.0
101.0,45.0,1.0
102.0,45.0,1.0
102.0,46.0,1.0
103.0,45.0,1.0
105.0,45.0,1.0
105.0,45.0,1.0
105.0,46.0,1.0
108.0,45.0,1.0
109.0,43.0,1.0
114.0,43.0,1.0
114.0,43.0,1.0
113.0,54.0,1.0
113.0,44.0,1.0
117.0,44.0,1.0
120.0,43.0,1.0
119.0,43.0,1.0
120.0,43.0,1.0
115.0,42.0,1.0
120.0,42.0,1.0
121.0,39.0,1.0
124.0,39.0,1.0
125.0,38.0,1.0
125.0,39.0,1.0
128.0,35.0,1.0
140.0,35.0,1.0
146.0,32.0,1.0
144.0,31.0,1.0
148.0,31.0,1.0
148.0,33.0,1.0
146.0,32.0,1.0
153.0,33.0,1.0
156.0,31.0,1.0
153.0,30.0,1.0
157.0,30.0,1.0
156.0,30.0,1.0
156.0,31.0,1.0
155.0,30.0,1.0
156.0,30.0,1.0
158.0,30.0,1.0
157.0,31.0,1.0
158.0,31.0,1.0
160.0,30.0,1.0
161.0,30.0,1.0
159.0,29.0,1.0
159.0,29.0,1.0
160.0,29.0,1.0
160.0,29.0,1.0
168.0,34.0,1.0
171.0,30.0,1.0
172.0,28.0,1.0
172.0,28.0,1.0
176.0,27.0,1.0
172.0,27.0,1.0
173.0,27.0,1.0
168.0,27.0,1.0
176.0,27.0,1.0
176.0,26.0,1.0
174.0,27.0,1.0
175.0,27.0,1.0
169.0,27.0,1.0
163.0,26.0,1.0
169.0,26.0,1.0
163.0,26.0,1.0
168.0,26.0,1.0
172.0,26.0,1.0
170.0,26.0,1.0
169.0,27.0,1.0
167.0,27.0,1.0
167.0,26.0,1.0
169.0,27.0,1.0
164.0,27.0,1.0
171.0,26.0,1.0
168.0,27.0,1.0
167.0,27.0,1.0
176.0,27.0,1.0
167.0,27.0,1.0
169.0,26.0,1.0
169.0,28.0,1.0
163.0,28.0,1.0
161.0,31.0,1.0
157.0,31.0,1.0
154.0,32.0,1.0
148.0,32.0,1.0
144.0,34.0,1.0
138.0,36.0,1.0
131.0,41.0,1.0
121.0,41.0,1.0
118.0,41.0,1.0
114.0,44.0,1.0
114.0,45.0,1.0
112.0,45.0,1.0
107.0,48.0,1.0
102.0,49.0,1.0
97.0,50.0,1.0
94.0,50.0,1.0
93.0,55.0,1.0
89.0,53.0,1.0
92.0,53.0,1.0
92.0,55.0,1.0
88.0,56.0,1.0
89.0,56.0,1.0
85.0,56.0,1.0
85.0,57.0,1.0
84.0,59.0,1.0
83.0,59.0,1.0
81.0,59.0,1.0
83.0,61.0,1.0
83.0,62.0,1.0
80.0,62.0,1.0
75.0,62.0,1.0
78.0,61.0,1.0
77.0,61.0,1.0
76.0,60.0,1.0
77.0,60.0,1.0
75.0,61.0,1.0
77.0,61.0,1.0
75.0,60.0,1.0
76.0,60.0,1.0
77.0,61.0,1.0
77.0,60.0,1.0
77.0,60.0,1.0
78.0,61.0,1.0
78.0,59.0,1.0
77.0,59.0,1.0
76.0,62.0,1.0
