box,sensor,label
83.0,37.0,0.0
84.0,37.0,0.0
80.0,37.0,0.0
82.0,37.0,0.0
81.0,37.0,0.0
82.0,37.0,0.0
82.0,37.0,0.0
81.0,37.0,0.0
84.0,37.0,0.0
85.0,37.0,0.0
83.0,37.0,0.0
83.0,37.0,0.0
83.0,37.0,0.0
82.0,37.0,0.0
84.0,37.0,0.0
86.0,37.0,0.0
84.0,37.0,0.0
85.0,37.0,0.0
84.0,37.0,0.0
85.0,37.0,0.0
81.0,37.0,0.0
81.0,37.0,0.0
83.0,37.0,0.0
82.0,37.0,0.0
80.0,37.0,0.0
83.0,37.0,0.0
84.0,37.0,0.0
83.0,37.0,0.0
80.0,37.0,0.0
81.0,37.0,0.0
81.0,37.0,0.0
83.0,37.0,0.0
79.0,37.0,0.0
81.0,37.0,0.0
80.0,37.0,0.0
82.0,37.0,0.0
78.0,37.0,0.0
82.0,37.0,0.0
81.0,37.0,0.0
81.0,37.0,0.0
81.0,37.0,0.0
83.0,37.0,0.0
86.0,37.0,0.0
91.0,37.0,0.0
100.0,37.0,0.0
99.0,37.0,0.0
105.0,37.0,0.0
110.0,37.0,0.0
116.0,37.0,0.0
119.0,37.0,0.0
128.0,37.0,0.0
136.0,37.0,0.0
145.0,37.0,0.0
150.0,37.0,0.0
156.0,37.0,1.0
162.0,37.0,1.0
157.0,37.0,1.0
154.0,37.0,1.0
155.0,37.0,1.0
156.0,37.0,1.0
156.0,37.0,1.0
162.0,37.0,1.0
166.0,37.0,1.0
164.0,37.0,1.0
167.0,37.0,1.0
165.0,37.0,1.0
158.0,37.0,1.0
165.0,37.0,1.0
164.0,37.0,1.0
161.0,37.0,1.0
155.0,37.0,1.0
171.0,37.0,1.0
157.0,37.0,1.0
158.0,37.0,1.0
157.0,37.0,1.0
161.0,37.0,1.0
167.0,37.0,1.0
165.0,37.0,1.0
167.0,37.0,1.0
162.0,37.0,1.0
162.0,37.0,1.0
160.0,37.0,1.0
159.0,37.0,1.0
160.0,37.0,1.0
161.0,37.0,1.0
161.0,37.0,1.0
163.0,37.0,1.0
165.0,37.0,1.0
165.0,37.0,1.0
165.0,37.0,1.0
164.0,37.0,1.0
158.0,37.0,1.0
162.0,37.0,1.0
162.0,37.0,1.0
165.0,37.0,1.0
158.0,37.0,1.0
160.0,37.0,1.0
157.0,37.0,1.0
158.0,37.0,1.0
163.0,37.0,1.0
163.0,37.0,1.0
163.0,37.0,1.0
164.0,37.0,1.0
164.0,37.0,1.0
157.0,37.0,1.0
164.0,37.0,1.0
169.0,37.0,1.0
167.0,37.0,1.0
166.0,37.0,1.0
165.0,37.0,1.0
162.0,37.0,1.0
160.0,37.0,1.0
161.0,37.0,1.0
159.0,37.0,1.0
162.0,37.0,1.0
162.0,37.0,1.0
164.0,37.0,1.0
161.0,37.0,1.0
161.0,37.0,1.0
161.0,37.0,1.0
165.0,37.0,1.0
163.0,37.0,1.0
161.0,37.0,1.0
164.0,37.0,1.0
165.0,37.0,1.0
163.0,37.0,1.0
163.0,37.0,1.0
165.0,37.0,1.0
162.0,37.0,1.0
163.0,37.0,1.0
163.0,37.0,1.0
160.0,37.0,1.0
162.0,37.0,1.0
163.0,37.0,1.0
162.0,37.0,1.0
160.0,37.0,1.0
161.0,37.0,1.0
160.0,37.0,1.0
158.0,37.0,1.0
160.0,37.0,1.0
158.0,37.0,1.0
164.0,37.0,1.0
161.0,37.0,1.0
170.0,37.0,1.0
170.0,37.0,1.0
160.0,37.0,1.0
160.0,37.0,1.0
158.0,37.0,1.0
