@relation accData
@attribute box numeric
@attribute sensor numeric
@attribute label numeric
@data
101.0,47.0,0.0
104.0,47.0,0.0
100.0,46.0,0.0
98.0,47.0,0.0
100.0,47.0,0.0
99.0,47.0,0.0
100.0,47.0,0.0
97.0,48.0,0.0
100.0,48.0,0.0
99.0,49.0,0.0
100.0,50.0,0.0
100.0,57.0,0.0
101.0,48.0,0.0
100.0,48.0,0.0
100.0,48.0,0.0
98.0,49.0,0.0
96.0,49.0,0.0
98.0,48.0,0.0
98.0,48.0,0.0
97.0,48.0,0.0
97.0,48.0,0.0
96.0,49.0,0.0
96.0,50.0,0.0
95.0,52.0,0.0
95.0,52.0,0.0
97.0,48.0,0.0
97.0,48.0,0.0
97.0,48.0,0.0
97.0,48.0,0.0
97.0,48.0,0.0
95.0,48.0,0.0
95.0,48.0,0.0
94.0,49.0,0.0
99.0,49.0,0.0
95.0,49.0,0.0
96.0,49.0,0.0
96.0,49.0,0.0
56.0,49.0,0.0
98.0,49.0,0.0
95.0,50.0,0.0
98.0,50.0,0.0
100.0,50.0,0.0
97.0,50.0,0.0
100.0,50.0,0.0
100.0,50.0,0.0
99.0,51.0,0.0
100.0,51.0,0.0
100.0,51.0,0.0
100.0,51.0,0.0
100.0,49.0,0.0
99.0,46.0,0.0
100.0,44.0,0.0
105.0,44.0,0.0
105.0,42.0,0.0
113.0,38.0,0.0
119.0,35.0,0.0
140.0,31.0,0.0
140.0,31.0,0.0
142.0,29.0,0.0
154.0,29.0,0.0
155.0,28.0,0.0
157.0,27.0,1.0
162.0,27.0,1.0
158.0,28.0,1.0
160.0,28.0,1.0
159.0,28.0,1.0
160.0,27.0,1.0
162.0,27.0,1.0
159.0,26.0,1.0
161.0,26.0,1.0
159.0,26.0,1.0
158.0,26.0,1.0
158.0,26.0,1.0
160.0,26.0,1.0
157.0,26.0,1.0
158.0,26.0,1.0
156.0,26.0,1.0
156.0,26.0,1.0
158.0,26.0,1.0
153.0,26.0,1.0
155.0,27.0,1.0
156.0,26.0,1.0
157.0,26.0,1.0
158.0,27.0,1.0
153.0,27.0,1.0
155.0,27.0,1.0
156.0,28.0,1.0
159.0,28.0,1.0
156.0,27.0,1.0
156.0,28.0,1.0
155.0,27.0,1.0
158.0,28.0,1.0
159.0,28.0,1.0
155.0,28.0,1.0
160.0,28.0,1.0
160.0,28.0,1.0
158.0,28.0,1.0
158.0,29.0,1.0
159.0,29.0,1.0
157.0,29.0,1.0
158.0,28.0,1.0
160.0,28.0,1.0
160.0,28.0,1.0
158.0,28.0,1.0
157.0,28.0,1.0
154.0,28.0,1.0
157.0,28.0,1.0
157.0,27.0,1.0
157.0,29.0,1.0
155.0,29.0,1.0
161.0,28.0,1.0
160.0,29.0,1.0
156.0,29.0,1.0
161.0,28.0,1.0
162.0,29.0,1.0
159.0,29.0,1.0
155.0,30.0,1.0
158.0,30.0,1.0
